study	rho_orig	N_orig	beta_orig	se_orig	rho_rep	N_rep	beta_rep	se_rep	
1	0.595	 24	1.370	0.218	0.148	 29	0.299	0.196
2	0.611	 24	1.421	0.218	0.230	 24	0.468	0.218
3	0.425	 25	0.908	0.213	-0.215	 32	-0.437	0.186
4	0.229	240	0.466	0.065	-0.006	270	-0.012	0.061
5	0.461	 32	0.998	0.186	0.135	 48	0.271	0.149
6	0.595	 24	1.371	0.218	0.396	 32	0.837	0.186
7	0.715	100	1.795	0.102	0.131	 15	0.264	0.289
8	0.561	 48	1.270	0.149	-0.111	 33	-0.222	0.183
10	0.699	 32	1.729	0.186	0.781	 32	2.094	0.186
11	0.672	 22	1.629	0.229	0.466	 30	1.011	0.192
12	0.178	 48	0.361	0.149	0.083	118	0.167	0.093
13	0.525	 36	1.165	0.174	0.525	 36	1.165	0.174
15	0.195	 95	0.395	0.104	0.247	242	0.504	0.065
17	0.305	 39	0.630	0.167	0.435	 47	0.931	0.151
19	0.560	 32	1.267	0.186	0.402	 21	0.852	0.236
20	0.224	 96	0.456	0.104	0.019	108	0.039	0.098
22	0.219	 18	0.446	0.258	0.065	 32	0.130	0.186
24	0.364	154	0.762	0.081	0.284	 49	0.585	0.147
25	0.348	 24	0.727	0.218	0.273	 63	0.561	0.129
26	0.161	 16	0.325	0.277	0.144	 20	0.290	0.243
27	0.378	 32	0.796	0.186	0.380	 71	0.799	0.121
28	0.342	 32	0.712	0.186	0.103	 91	0.207	0.107
29	0.738	  8	1.891	0.447	0.704	 15	1.750	0.289
32	0.623	 37	1.461	0.171	0.481	 38	1.048	0.169
33	0.517	 40	1.144	0.164	0.316	 40	0.654	0.164
36	0.714	 24	1.790	0.218	0.682	 24	1.664	0.218
37	0.551	 12	1.240	0.333	0.350	 18	0.730	0.258
39	0.367	 68	0.769	0.124	0.102	153	0.204	0.082
43	0.347	 67	0.725	0.125	0.161	 75	0.325	0.118
44	0.352	 70	0.736	0.122	0.150	180	0.303	0.075
46	0.023	230047	0.045	0.002	0.024	455326	0.048	0.001
48	0.225	100	0.459	0.102	-0.052	200	-0.105	0.071
49	0.378	 36	0.796	0.174	-0.030	 88	-0.061	0.108
50	0.208	 98	0.422	0.103	0.155	109	0.313	0.097
52	0.206	133	0.417	0.088	0.094	113	0.189	0.095
53	0.377	 48	0.793	0.149	0.077	 75	0.154	0.118
55	0.230	 57	0.468	0.136	0.066	 71	0.132	0.121
56	0.379	103	0.798	0.100	-0.042	 83	-0.084	0.112
58	0.167	186	0.338	0.074	0.037	280	0.074	0.060
61	0.220	110	0.447	0.097	-0.005	222	-0.009	0.068
63	0.274	 71	0.562	0.121	0.074	148	0.148	0.083
